,years,parrains,montants
0,Année,Parrain,Montant collecté
1,1987,Jerry LEWIS,29 650 000 €
2,1988,Mireille MATHIEU,28 490 000 €
3,1989,Alain DELON,40 930 000 €
4,1990,Claudia CARDINALE,46 510 000 €
5,1991,"Jerry LEWIS, Mireille MATHIEU et Ornella MUTTI",38 650 000 €
6,1992,Barbara HENDRICKS,47 870 000 €
7,1993,Michel SARDOU,55 600 000 €
8,1994,Pierre PERRET,57 520 000 €
9,1995,Serge LAMA,56 763 000 €
10,1996,Thierry LHERMITTE,56 872 000 €
11,1997,Robert HOSSEIN,63 043 286 €
12,1998,Michel BOUJENAH ,70 449 000 € 
13,1999,Pierre PERRET ,71 417 798 € 
14,2000,Patrick SEBASTIEN ,79 640 119 € 
15,2001,Jane BIRKIN ,81 188 013 € 
16,2002,Axelle RED ,91 546 548 € 
17,2003,Sandrine KIBERLAIN,97 657 833 € 
18,2004,Gérard JUGNOT ,104 678 697 € 
19,2005,Yannick NOAH ,104 078 464 € 
20,2006,Gérard JUGNOT et Thierry LHERMITTE,106 696 532 € 
21,2007,Kad MERAD et Liane FOLY ,102 315 233 € 
22,2008,Julien CLERC ,104 911 383 € 
23,2009,Daniel AUTEUIL ,95 200 117 € 
24,2010,Anne ROUMANNOFF ,90 450 486 € 
25,2011,Gad ELMALEH ,94 091 902 € 
26,2012,Franck DUBOSC ,88 156 400 € 
27,2013,Patrick Bruel,89 327 268 €
28,2014,Garou,92 920 108 € 
29,2015,Marc Lavoine,93 850 778 €
30,2016,Garou,92 740 769 €
31,2017,Zazie,89 189 384 €
32,2018,Pascal Obispo,85 844 117 €
33,2019,Jean-Paul Rouve,87 026 262 €
